contract_id,churn_sn,duracao,ciclo,qtd_atendimentos,tme_recepcao_medio,tme_preconsulta_medio,tme_consulta_medio,tme_total_medio,tma_recepcao_medio,tma_preconsulta_medio,tma_consulta_medio,tma_posconsulta_medio,tm_total_medio,espera_senha_ate_consulta_medio,qtd_com_tme_rec,qtd_com_tme_pre,qtd_com_tme_con,qtd_com_stamps
00156e20-58a4-11ef-86f7-d32b25df0c16-1,S,12,1o,10,209,128,1139,1130,103,114,465,145,1973,1524,8,4,8,10
0015dff0-d28d-11ef-a467-0dac829dc94e-1,N,12,1o,3,626,,898,1316,127,,2163,31,3563,1400,2,0,3,3
00161820-beda-11ee-a40f-91bdd0d0037f-2,N,12,2o+,4,34,,2184,2218,221,,1817,3,4256,2439,4,0,4,4
00165380-67da-11f0-93f5-b38fb1bbce21-1,N,6,1o,1,77,,1029,1106,744,,10,,1860,1850,1,0,1,1
0016e3d0-1498-11f0-baa0-77a9d1b851df-2,N,6,2o+,1,40,,114,154,959,,887,,2000,1113,1,0,1,1
0017a640-e247-11ef-aea5-d30db62080b0-1,N,12,1o,9,144,,363,354,94,,438,269,860,422,2,0,8,9
001806a0-5cb3-11ee-9216-f9e5f863dc1a-2,S,12,2o+,9,144,,1118,1214,135,,550,38,1854,1304,6,0,9,9
00181970-cc64-11ef-9993-e12f17a9bf1d-1,N,12,1o,13,734,581,2446,3157,205,245,286,537,3654,3368,11,2,13,13
00184420-78ec-11ef-be2e-c7ec805dbf4a-1,S,12,1o,1,,,5,5,,,1171,,1176,5,0,0,1,1
001868a0-a9c0-11f0-98ad-154a9e483098-1,S,6,1o,2,434,,832,1265,156,,126,8,1547,1421,2,0,2,2
00186b40-dbe8-11ee-848b-3151c8419073-2,S,12,2o+,6,811,1487,1345,2134,173,32,474,83,2728,2254,4,1,6,6
0018a800-62f9-11f0-8cf1-ad2c165de98c-1,S,6,1o,1,,,124,124,,,580,,704,124,0,0,1,1
0019cfb0-923c-11f0-8619-5338bfb2b4ff-1,N,6,1o,3,196,,1224,1420,215,,748,2232,2383,1635,3,0,3,3
001a1bc0-e2f5-11ee-9875-4b07286c9935-2,N,12,2o+,2,318,243,2505,2944,81,34,313,45,3355,3042,2,1,2,2
001a7a40-32c7-11ee-9529-833cfd4ea487-2,N,12,2o+,7,734,266,593,986,276,109,276,314,1953,1678,5,1,5,7
001a8080-effb-11ed-9da8-936aef594773-3,N,12,2o+,7,329,,1274,1509,124,,238,310,1854,1616,5,0,7,7
001a97c0-e7be-11ef-af57-05af79d1c432-1,S,12,1o,2,1182,303,508,1842,167,54,353,146,2388,2035,2,1,2,2
001b6d80-9646-11f0-8607-134b867ee20c-1,N,6,1o,1,19,448,6421,6888,486,425,639,12,8438,7799,1,1,1,1
001b8010-784a-11ef-9bea-0981a88b120c-1,S,12,1o,5,546,,902,1268,393,,360,,2257,1799,5,0,4,5
001b9900-6955-11ef-95c7-cf2b02096a95-2,N,6,2o+,1,133,148,207,488,158,136,745,332,1527,782,1,1,1,1
001bd300-7f41-11ef-aa52-ab67384e7d9a-1,S,12,1o,1,,815,9289,10104,166,127,1310,176,11707,10397,0,1,1,1
001e7db0-e4b0-11ef-8e95-43d0d77ce635-1,S,12,1o,8,148,403,698,1130,118,138,964,355,2301,1337,7,6,8,8
001e9370-c982-11ef-8ded-e9c5dd13d8f4-1,S,12,1o,8,,,6,2,,,426,,432,6,0,0,2,8
001eae10-b4e0-11f0-841e-ab47511c86f4-1,N,6,1o,2,46,,794,840,297,,225,,1362,1137,2,0,2,2
001fef10-de31-11ed-864d-7dbb570205d1-5,N,6,2o+,5,319,417,591,1199,115,177,487,38,1933,1445,3,5,5,5
001fef10-de31-11ed-864d-7dbb570205d1-6,S,6,2o+,3,450,313,506,1165,68,97,500,,1797,1297,3,2,3,3
001ff970-e883-11ef-a3a0-c5523c2c4836-1,S,12,1o,4,472,,3742,4096,76,,142,254,4294,4153,3,0,4,4
0020f900-bbcf-11ef-84c7-a3747d4f1d40-1,N,12,1o,16,177,331,1182,1419,154,108,682,318,2220,1581,14,4,16,16
00215790-ae17-11ee-abad-a3d671834fc8-2,N,12,2o+,5,246,,1692,1938,254,,339,16,2531,2192,5,0,5,5
0021dad0-61bc-11f0-a0e8-bdceb6bfb6dc-1,S,6,1o,12,91,135,680,382,100,78,1131,31,1973,843,4,1,6,12
00252770-c311-11ef-94bf-11d3cf4f7ed6-1,N,6,1o,10,231,,1334,1542,293,,518,372,2324,1805,9,0,10,10
00252770-c311-11ef-94bf-11d3cf4f7ed6-2,N,6,2o+,2,25,,1424,1449,61,,894,266,2404,1510,2,0,2,2
0025bb10-a8e3-11ef-98c5-1bf152c6b56c-2,S,6,2o+,3,,,6,6,,,181,,127,6,0,0,3,3
00260250-faaa-11ef-a7a4-63ac0343f53f-1,N,12,1o,14,200,216,1396,1602,124,108,542,244,2288,1747,8,6,14,14
00260aa0-a37c-11ef-be43-931ba5f7dc13-1,S,12,1o,5,255,459,1994,2432,522,115,643,362,3644,3000,5,2,5,5
002619a0-4829-11ee-aad4-5308cd4ee1c4-2,N,12,2o+,6,585,,1923,2507,94,,147,293,2749,2602,6,0,6,6
00267bc0-e3e6-11ef-8489-e13ca87e9a51-1,N,12,1o,3,,,10,10,,,489,,499,10,0,0,3,3
00275a60-e906-11f0-8b47-fb0b2507900f-1,S,12,1o,3,96,,2328,2392,66,,720,,3155,2435,2,0,3,3
00277fe0-c88c-11ef-95fa-83cd409c5920-1,S,6,1o,3,,,6,6,,,707,,713,6,0,0,3,3
0027bab0-e59b-11ef-a012-d9b38448a03b-1,N,6,1o,4,53,,2082,2095,170,,308,210,2571,2263,1,0,4,4
0028d7c0-5039-11f0-a1e4-57a8c2dde9bb-1,S,6,1o,4,95,738,1400,1656,129,53,314,585,2080,1766,3,1,4,4
0028e6d0-673a-11f0-9719-cdfaedf7bebc-1,S,6,1o,1,124,535,2273,2932,199,265,980,,4376,3396,1,1,1,1
00292910-3562-11f0-9d92-d77aa8af556d-1,S,6,1o,4,159,,2236,2395,283,,436,291,3114,2678,4,0,4,4
00297740-58e4-11ef-95f9-6179754085e6-2,N,6,2o+,3,306,660,2218,2642,76,207,753,129,3540,2787,2,1,3,3
002a6020-2e3b-11ef-897a-d1cc5d0cfb5e-1,S,12,1o,9,930,990,2522,3368,111,132,425,142,3898,3474,5,3,9,9
002b0810-bc5b-11ee-82f7-2bd31091ca7c-2,N,12,2o+,12,1347,322,2100,3186,281,917,338,279,4178,3840,11,1,11,12
002b5440-6e3f-11f0-828e-2d1937ab7808-1,N,6,1o,6,291,220,1904,2257,110,36,1603,43,3987,2385,5,3,6,6
002c77b0-e9a3-11ef-8aea-ff4a6399cea5-1,N,6,1o,1,260,,239,499,99,,631,,1229,598,1,0,1,1
002cc3d0-5bc6-11ee-b8dc-bb5fb7bda974-2,N,12,2o+,10,335,691,2197,3051,128,156,739,234,4029,3291,9,8,10,10
002df220-cc5d-11ee-903d-19f271979b7f-3,N,6,2o+,5,197,624,1908,2478,105,210,380,101,3089,2709,5,3,5,5
002dfbd0-0097-11ef-9b34-59e8a038e7f0-2,S,12,2o+,7,182,264,865,883,63,112,552,34,1643,1091,4,1,6,7
003212e0-2849-11ef-8497-d931988c64f5-2,N,6,2o+,1,73,223,1011,1307,137,392,733,83,2569,1836,1,1,1,1
00322240-69d9-11ef-afb8-dd8deb0c5c57-1,S,12,1o,13,469,692,1397,1559,113,90,711,906,2493,1781,6,1,12,13
003229e0-6ba8-11ef-ad60-b97dee1bb3dc-2,N,6,2o+,1,339,,666,1005,87,,675,,1767,1092,1,0,1,1
003229e0-6ba8-11ef-ad60-b97dee1bb3dc-3,S,6,2o+,3,460,21,677,997,223,123,434,2930,1662,1228,2,2,3,3
003273c0-1006-11f0-affc-4bbcdb6835ac-1,S,12,1o,7,428,77,346,540,148,142,576,331,1200,624,3,1,7,7
00328510-69a3-11ed-bb24-777835832a86-3,N,12,2o+,10,213,,813,1005,95,,738,217,1837,1099,9,0,10,10
0032d790-e485-11ef-8fff-ab6d928b0da3-1,N,12,1o,2,340,,1608,1948,140,,428,111,2515,2088,2,0,2,2
0032da40-c5b1-11ee-8df7-6d3a940f6af1-2,N,12,2o+,5,516,204,2397,2851,128,77,644,22,3637,2994,4,1,5,5
00337ff0-f872-11ef-a109-11f436e7a1cc-1,S,12,1o,5,266,878,2535,3275,172,173,336,17,3852,3516,4,3,5,5
00347080-3cb1-11f0-859b-6bfa9aad4ab0-1,S,6,1o,2,112,467,1583,1928,108,162,648,16,2764,2117,2,1,2,2
00347390-5b30-11ef-a38c-594381b465ac-2,S,6,2o+,1,301,,118,419,51,,1479,,1949,470,1,0,1,1
003516a0-7f5d-11ef-b4e4-25a2c078b9c5-1,N,12,1o,6,570,5136,1762,3188,100,224,649,221,3974,3325,6,1,6,6
003517a0-2074-11f0-95a0-53645e6b2087-1,N,12,1o,12,316,920,1394,1837,115,292,401,408,2358,1991,11,2,12,12
00355100-38cd-11ef-975c-b50e2ad4f8b9-1,S,12,1o,21,546,357,2769,3103,164,112,627,274,4045,3418,14,6,20,21
00363ec0-a8eb-11ee-9287-75b15652a05c-3,S,6,2o+,4,165,476,2535,2818,285,8,698,432,3803,3105,4,1,4,4
003648b0-53ce-11ee-be2f-77836a8bb410-2,S,12,2o+,1,189,,1325,1514,96,,548,6,2158,1610,1,0,1,1
0036a110-cabb-11ef-8e18-6bae4429e759-1,S,12,1o,9,329,902,1527,2084,123,169,423,188,2658,2235,7,3,9,9
0036e7d0-9a43-11f0-9704-af5ad0308c83-1,N,6,1o,2,210,,1678,1783,124,,1112,,2956,1845,1,0,2,2
0037f280-4907-11ef-88ef-c566b7e37ec9-2,N,6,2o+,2,383,102,666,1100,111,98,617,21,1877,1260,2,1,2,2
003843e0-45d6-11ef-a339-81460feb3953-2,N,6,2o+,6,579,651,1943,2654,85,84,552,98,3305,2753,4,3,6,6
003843e0-45d6-11ef-a339-81460feb3953-3,N,6,2o+,4,208,457,2136,2406,131,123,705,121,3239,2535,3,1,4,4
0038cd50-76ee-11ed-9f4e-d5a973f15f61-3,N,12,2o+,11,617,360,1638,2297,97,116,586,244,3003,2417,10,3,11,11
00392860-2a0e-11f0-935c-d9d12bc313a4-1,N,6,1o,3,260,,2415,2675,124,,29,,2828,2799,3,0,3,3
0039f380-a298-11ed-8cc1-49837c1b5f6d-5,S,6,2o+,3,307,868,1263,1860,134,164,1353,,3401,2048,3,1,3,3
003bbe60-715c-11ef-a435-d9d030035e5d-1,S,12,1o,4,224,396,1190,1456,90,43,272,907,1806,1534,3,1,4,4
003c19e0-849f-11ef-9fc1-afe3b2e99570-1,S,12,1o,6,402,,1295,1497,128,,351,202,1954,1603,3,0,6,6
003c2e20-aa8d-11f0-8c65-8f6d46ee82d5-1,S,6,1o,4,23,,378,383,119,,690,190,1103,413,1,0,4,4
003c4a40-7433-11ef-9166-1b70930625be-2,N,6,2o+,2,168,,742,910,91,,582,78,1582,1000,2,0,2,2
003c4f50-7391-11f0-9c96-2bb1ee59bfec-1,S,6,1o,1,430,,991,1421,213,,11,,1645,1634,1,0,1,1
003c50e0-5650-11ef-81ce-11bba2ba0184-1,N,12,1o,11,264,967,1287,1738,110,355,301,60,2365,2115,9,4,10,11
003e17b0-84e2-11f0-b57b-2577474e2880-1,S,6,1o,2,,,7,7,,,383,,389,7,0,0,2,2
003e6d30-4ed0-11ef-b368-8973ddd17229-2,N,6,2o+,10,,,,0,,,,,,,0,0,0,10
003e6d30-4ed0-11ef-b368-8973ddd17229-3,N,6,2o+,5,,,,0,,,,,,,0,0,0,5
003f1c80-b8a7-11ef-9465-53f241c95057-1,S,6,1o,5,62,,360,373,42,,895,,1276,381,1,0,5,5
003f7950-2742-11f0-8501-b1f27ea3ae5b-1,N,12,1o,4,1119,,1807,2926,154,,79,,3159,3080,4,0,4,4
003fe2e0-fe8f-11ef-88d6-4d37cfa2937e-1,S,12,1o,9,285,57,2022,2250,113,128,559,442,2911,2352,7,1,9,9
0040a150-dff2-11ef-88a1-9f5c580d8a97-1,N,12,1o,11,390,121,1284,1636,123,104,694,250,2460,1765,9,3,11,11
00412880-3bf2-11f0-b231-799a76d9728a-1,N,6,1o,2,84,406,494,983,327,191,775,126,2276,1501,2,2,2,2
004245d0-e2a1-11ef-8e5d-db3fa350b884-1,N,6,1o,4,249,,30,93,181,,833,,971,138,1,0,4,4
004245d0-e2a1-11ef-8e5d-db3fa350b884-2,N,6,2o+,2,,,9,9,,,502,,511,9,0,0,2,2
0042af20-f2b4-11ef-8bc3-ef7b5a8f7c95-1,N,12,1o,4,795,391,3321,4113,360,109,446,214,4883,4437,3,2,4,4
0042c6a0-0fdd-11ef-9bf0-31c4493e984e-2,N,12,2o+,1,74,1817,323,2214,94,209,286,,2803,2517,1,1,1,1
004306d0-d092-11ef-9ae5-abcbc45a179e-1,S,12,1o,1,53,,,53,69,,3119,6,3241,122,1,0,0,1
00444690-c371-11ef-b06e-ad25fac7ce31-1,N,6,1o,4,806,548,3355,3895,259,397,294,176,4459,4165,2,1,4,4
00444690-c371-11ef-b06e-ad25fac7ce31-2,N,6,2o+,1,84,,1486,1570,679,,729,27,2978,2249,1,0,1,1
00448d80-7d25-11f0-b566-a562dc91b65d-1,N,6,1o,7,448,322,694,1170,113,113,561,199,1860,1299,6,2,7,7
0044cee0-9c79-11ef-9780-4d7b12769b37-2,S,6,2o+,2,26,46,788,824,95,200,757,,1728,972,1,1,2,2
00453f20-7c2f-11ef-9ecb-3d00f57fe83a-1,S,12,1o,2,143,409,806,1153,159,122,426,17,1798,1373,2,1,2,2
004561f0-fe06-11ee-9471-cbe296259244-2,S,12,2o+,1,64,291,3452,3807,123,48,640,,4618,3978,1,1,1,1
00456580-9d05-11ef-8c38-f1c4017babc3-1,N,12,1o,2,543,92,1309,1897,115,141,429,8,2512,2083,2,1,2,2
00459fd0-21dc-11f0-9a4a-f9bf79116efe-1,S,12,1o,1,552,181,2340,3073,69,120,395,,3657,3262,1,1,1,1
0045b370-789a-11f0-8245-25752bd09dbb-1,N,6,1o,1,,,8,8,,,901,,909,8,0,0,1,1
004665f0-76b0-11ef-8038-eb68338051a7-1,S,12,1o,5,221,752,1631,2259,97,103,567,412,2966,2398,4,3,5,5
0046e5f0-5d4f-11ee-9432-2baab0c38aa9-2,S,12,2o+,2,166,,1259,1425,80,,390,51,1894,1504,2,0,2,2
00479ac0-2759-11ef-9d55-75853cdfa001-1,S,12,1o,16,422,484,1391,1772,79,238,289,218,2158,1869,11,3,16,16
0047f9e0-63a7-11ef-a9d2-8954553dc727-1,S,12,1o,1,39,180,707,926,141,81,401,2087,1549,1148,1,1,1,1
00480c10-599b-11f0-8fc7-b15c68b06def-1,N,6,1o,1,233,,6872,7105,529,,101,,7735,7634,1,0,1,1
00489c10-1127-11ef-a3fa-59a9314ef22b-3,N,6,2o+,4,213,,1162,1322,164,,573,158,2017,1444,3,0,4,4
0048eb80-5415-11ef-915a-ff22c5e5672f-2,S,6,2o+,4,180,,634,724,95,,380,107,1175,795,2,0,4,4
00494c50-e93b-11ee-a671-038204fd5d19-3,S,6,2o+,2,,,7,7,,,196,,203,7,0,0,2,2
004a4970-5c21-11f0-800b-b9a2dc53b135-1,N,6,1o,10,,,36,7,,,287,,322,36,0,0,2,10
004bb290-ce93-11ef-91c8-35240f5c7b4e-1,S,12,1o,6,153,1061,301,504,59,185,620,,1164,544,1,1,6,6
004bce40-2435-11f0-a0fe-ef62ccc58384-1,N,6,1o,7,246,121,4371,1336,161,1314,423,121,5918,5495,2,1,2,7
004bce40-2435-11f0-a0fe-ef62ccc58384-2,S,6,2o+,4,258,108,1357,834,151,28,405,351,2238,1834,2,1,2,4
004d2980-3147-11ee-b35f-bb0e7ff29777-2,S,12,2o+,7,498,482,1315,1882,121,17,311,444,2317,2006,7,1,7,7
004db020-eed9-11ef-b66f-277f59dca1e7-1,S,12,1o,1,20,,1406,1426,155,,622,22,2203,1581,1,0,1,1
004dfb00-cf2a-11ed-b316-712992094588-3,S,12,2o+,12,558,910,2307,3029,162,186,563,422,3775,3212,9,4,12,12
004e0540-e257-11ef-a9b8-7b58d8bc419e-1,N,6,1o,3,84,1461,1189,2247,137,238,562,147,3104,2542,3,2,3,3
004e0540-e257-11ef-a9b8-7b58d8bc419e-2,N,6,2o+,2,207,,1136,1239,141,,392,112,1701,1310,1,0,2,2
004e4850-7881-11f0-9066-cb374dfb9f0c-1,N,6,1o,1,66,344,2881,3291,445,60,861,,4657,3796,1,1,1,1
004e5530-d376-11ef-b49a-6b9b5c3094c4-1,S,12,1o,4,294,59,940,1189,139,86,521,60,1892,1371,3,2,4,4
00509c40-adc9-11f0-bbd2-aba3a7601c62-1,S,6,1o,1,,,8,8,,,598,,606,8,0,0,1,1
00514370-e318-11ee-afef-83d6dbc60418-2,N,12,2o+,6,98,,4998,5080,78,,297,311,5442,5144,5,0,6,6
00526f70-79c7-11ef-a347-09f49cbdf7e1-1,S,12,1o,5,317,,1890,2207,84,,591,8,2882,2292,5,0,5,5
0052d3d0-a963-11f0-808b-5d9008f4442c-1,N,6,1o,4,,,9,7,,,333,,341,9,0,0,3,4
005351d0-ea6d-11ef-a75f-9d124115213f-1,S,6,1o,2,,,7,7,,,949,,956,7,0,0,2,2
0053ac50-7774-11ef-945f-c371f059cd7f-1,N,12,1o,15,324,733,1324,1681,111,207,296,260,2086,1790,12,2,15,15
00545fe0-c764-11ed-8106-0b4f04705d9f-3,N,12,2o+,6,134,730,823,1543,66,106,853,154,2539,1687,5,5,6,6
005501d0-b9df-11ed-9675-8d6d45d76518-3,S,12,2o+,3,80,131,1912,2080,105,85,865,49,3107,2241,3,2,3,3
00562a00-953b-11ee-a12b-dd1825065aee-4,S,6,2o+,2,149,136,1430,1715,107,201,229,8,2252,2023,2,2,2,2
0056f350-a828-11ed-8cb5-49d53452dd92-3,S,12,2o+,2,550,,3676,4226,80,,413,733,3869,4306,2,0,2,2
0057b070-c161-11ef-83d3-ff1f0d53505e-1,N,6,1o,2,255,,2148,2403,482,,930,449,3814,2885,2,0,2,2
0057da70-1c59-11f0-8c1a-23672ddccdeb-1,S,6,1o,2,87,2192,155,1295,257,692,1292,478,3061,1769,1,1,2,2
0058e160-1e05-11f0-a61a-c589ab260701-1,S,12,1o,7,231,873,1946,2149,92,440,584,282,2912,2683,7,2,6,7
00599050-4766-11ee-ab5e-1d8a8c12141d-2,N,12,2o+,6,991,189,1585,2277,56,,340,231,2654,2315,4,1,6,6
005b7520-af46-11ef-9256-d3c6d94847a7-1,S,12,1o,4,294,,1674,1968,141,,337,116,2446,2109,4,0,4,4
005ba520-8b08-11ef-8591-d56f4ecb6642-2,S,6,2o+,7,673,1475,1911,2603,174,816,432,129,3276,2844,5,1,7,7
005c06a0-f85e-11ef-987c-db3293eee3f3-1,S,6,1o,2,1218,468,865,2317,69,44,424,,2831,2408,2,1,2,2
005dfcd0-7032-11ef-82d7-2de838c296e6-2,N,6,2o+,2,42,,1638,1659,108,,388,221,2101,1713,1,0,2,2
005f7130-d5b0-11ef-8636-5b000fc0326d-1,N,6,1o,2,13,211,3292,3404,86,95,374,1610,3911,3537,1,1,2,2
005f7130-d5b0-11ef-8636-5b000fc0326d-2,S,6,2o+,3,185,,931,992,64,,466,,1480,1014,1,0,3,3
0060c360-2b0f-11ef-910b-81a684595c67-1,S,12,1o,3,406,720,2808,3558,83,71,659,123,4319,3660,2,2,3,3
0062b590-3532-11ee-b905-3bec14060be7-4,S,6,2o+,10,216,389,1422,1669,136,353,421,634,2304,1883,6,3,10,10
0063d0e0-1b71-11ee-8927-df35fbb7b94b-2,N,12,2o+,5,226,217,2743,3056,172,153,448,,3737,3288,5,2,5,5
00640a40-45ec-11f0-a564-356eeda9c55e-1,S,6,1o,6,1380,225,1761,2718,286,8,273,3,3183,2910,4,1,6,6
00641740-588c-11ef-a68c-ebb0c4998ca2-2,S,6,2o+,3,531,,1656,1281,60,,469,,2420,1952,1,0,2,3
006419a0-ba0f-11ee-bbec-5daacf51af8e-2,S,12,2o+,1,51,,1481,1532,139,,759,18,2430,1671,1,0,1,1
0064fd30-7466-11f0-aa25-776a2c1f5afc-1,N,6,1o,4,284,861,548,1047,99,1468,439,100,1952,1513,4,1,4,4
006515c0-f9bb-11ef-b69c-9dc02cce148e-1,S,12,1o,19,609,821,2513,3101,225,77,637,339,3933,3330,17,1,19,19
00652f30-7670-11ee-add7-1fc85f2f534c-2,N,12,2o+,4,225,223,2710,2990,82,58,508,136,3595,3086,4,1,4,4
0065aff0-71dd-11ef-872d-450462a6d731-1,N,12,1o,8,174,440,1819,2158,131,215,815,31,3185,2370,8,3,8,8
0065e5e0-cd15-11ef-9f41-e1ee99253e96-1,S,6,1o,3,221,100,621,875,110,299,260,325,1345,1085,3,1,3,3
0065eae0-a35d-11ef-a3ac-4d156a082411-1,N,12,1o,3,120,3063,1911,3052,73,60,652,12,3797,3146,3,1,3,3
00665620-96d2-11ef-9142-d7417bfeb70e-1,S,12,1o,1,,,8,8,,,466,,474,8,0,0,1,1
00666780-b61e-11ef-8be8-c773c36e8dca-2,N,6,2o+,10,658,794,2554,3239,113,341,634,418,4031,3398,8,2,10,10
006780d0-41c5-11ee-a699-0d549fc4e939-2,N,12,2o+,2,183,,327,418,88,,452,46,914,462,1,0,2,2
00684000-5490-11ee-8360-7df9c0390de9-4,N,6,2o+,6,239,369,1103,1364,175,60,453,220,1972,1520,5,1,6,6
0068c8f0-b8c5-11ef-9bcc-ff50aeace1a0-1,S,6,1o,1,303,312,199,814,217,244,2276,54,3551,1275,1,1,1,1
00691af0-90a0-11ef-bebd-d5ac79d4fdc0-1,N,12,1o,3,92,,1187,853,217,,1312,282,2309,1496,2,0,2,3
006a8300-0170-11ef-9993-a1d216601fed-3,N,6,2o+,3,81,,1355,1409,145,,838,121,2392,1554,2,0,3,3
006b4470-116e-11f0-a5a4-e766fe4687f9-1,S,12,1o,1,23,,87,110,34,,131,,275,144,1,0,1,1
006c4310-0b11-11f0-bdac-8f43d426bc96-1,N,6,1o,3,559,2439,2793,4165,70,275,468,25,4795,4327,3,1,3,3
006c6d80-7b2f-11ef-b5c6-7fecd3bafeca-2,S,6,2o+,3,,,7,7,,,1799,,1806,7,0,0,3,3
006cbe30-9e0f-11f0-96c6-13aef2a47be5-1,S,6,1o,1,112,,3877,3989,186,,1416,187,5591,4175,1,0,1,1
006d8830-0a38-11f0-a0c4-d1f19b3adeb0-1,S,6,1o,6,137,460,1062,1230,149,14,415,50,1747,1331,4,1,6,6
006da780-e7c3-11ef-88a9-434bd1697bff-1,S,12,1o,9,458,402,1437,2118,83,197,761,285,3071,2311,9,5,9,9
006da850-21d2-11ef-8654-510705ffd44a-3,S,6,2o+,5,306,493,1691,2034,129,7,533,81,2698,2165,4,1,5,5
