payment_status,body_json
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MCGWOJ7NN0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""968767"",""tokenization.storedPaymentMethodId"":""HR8ST76JPL7K3VX3"",""transactionLinkId"":""aapQ8M1XTaGBKfpqf2v9fA""},""merchantReference"":""yalo"",""pspReference"":""GZHRLRR96G3WL9G3"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""30 : Retry after 10 days"",""networkTxReference"":""MCGIFJUKM0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969092"",""tokenization.storedPaymentMethodId"":""LS9D9Q2WHH6J9WF3"",""transactionLinkId"":""fnWsiguDR46qCpeTIgyD-A""},""merchantReference"":""yalo"",""pspReference"":""VS95RB5QPF4WRSF6"",""refusalReason"":""Not enough balance"",""refusalReasonCode"":""12"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MPLIFF3KM0623"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122255"",""tokenization.storedPaymentMethodId"":""J8G294L2BJKPNTP9"",""transactionLinkId"":""ZvgSSAwAQ7WfuKdS6nW2fg""},""merchantReference"":""yalo"",""pspReference"":""QHR6QT4ZR6MG8PG3"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""01 : New account information available"",""networkTxReference"":""MCGUEZNKK0623"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""968885"",""tokenization.storedPaymentMethodId"":""BNKHBT8Q82G8BZW3"",""transactionLinkId"":""w-xbS1VhQm2diNj4MXY-Ng""},""merchantReference"":""yalo"",""pspReference"":""B4SXTH4X97LB7CZ3"",""refusalReason"":""Refused"",""refusalReasonCode"":""2"",""resultCode"":""Refused""}"
false,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""346174457530909"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969298"",""tokenization.storedPaymentMethodId"":""C4PPBSLQ84V3P3F6""},""merchantReference"":""yalo"",""pspReference"":""HGPDJRZTJCQWL9G3"",""refusalReason"":""Not supported"",""refusalReasonCode"":""10"",""resultCode"":""Refused""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MCSGQMRKJ0623"",""recurring.recurringDetailReference"":""F7SDPCQ3GV53HX42"",""recurring.shopperReference"":""412856"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""412856"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""F7SDPCQ3GV53HX42"",""transactionLinkId"":""VNqMc_3JS_ylkAXkKR0M4g""},""amount"":{""currency"":""BRL"",""value"":41880},""merchantReference"":""yalo"",""pspReference"":""CDCZ84CH7D7DMCZ3"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MBKFQL9NP0623"",""recurring.recurringDetailReference"":""G3FNML3DWWQX5S62"",""recurring.shopperReference"":""413391"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""413391"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""G3FNML3DWWQX5S62"",""transactionLinkId"":""WJMYuwYJTByXQDT8vrTAyg""},""amount"":{""currency"":""BRL"",""value"":47760},""merchantReference"":""yalo"",""pspReference"":""BX4G6P95WGB9WRX3"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""346174457982696"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122283"",""tokenization.storedPaymentMethodId"":""VSNQBF7XQFCPQ4X3""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""V3F2XQGBSZ992CR9"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""346174457667955"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969088"",""tokenization.storedPaymentMethodId"":""RX85SL2M3V866KF3""},""amount"":{""currency"":""BRL"",""value"":47760},""merchantReference"":""yalo"",""pspReference"":""GSZP5D3S5QC6GXG6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""PaymentAccountReference"":""50011UPU3HQIWQHB2WIT3Q0TEY6L6"",""acquirerCode"":""AdyenMasterCard_BR_Ins_23316"",""acquirerReference"":""616200096976"",""authCode"":""004247"",""avsResult"":""-1 Not sent"",""cardBin"":""553636"",""cardFunction"":""Consumer"",""cardHolderName"":""EDUARDO PIZZOLI"",""cardSummary"":""0772"",""checkout.cardAddedBrand"":""mcpremiumcredit"",""coBrandedWith"":""mc"",""cvcResult"":""1 Matches"",""cvcResultRaw"":""M"",""expiryDate"":""10/2032"",""fundingSource"":""CREDIT"",""hmacSignature"":""Ga0aXu+mokYeBmDc6+CTVoblOQKfNa1bHO/J+oc0/Mk="",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""41 : Consumer single-use virtual card"",""networkTxReference"":""MBKR59I350610"",""paymentMethodVariant"":""mcpremiumcredit"",""recurring.recurringDetailReference"":""N244JT5GVM65BHH6"",""recurring.shopperReference"":""719526"",""recurringProcessingModel"":""CardOnFile"",""refusalReasonRaw"":""85 : No reason to decline a request for account number verification, address verification, CVV2 verification, or a credit voucher or merchandise return"",""shopperReference"":""719526"",""tokenization.shopperReference"":""719526"",""tokenization.store.operationType"":""created"",""tokenization.storedPaymentMethodId"":""N244JT5GVM65BHH6"",""transactionLinkId"":""Mvc5OOsQQcOFHU0e0Y8X8A""},""amount"":{""currency"":""BRL"",""value"":0},""eventCode"":""AUTHORISATION"",""eventDate"":""2026-06-11T02:13:00+02:00"",""merchantAccountCode"":""YALO_POS"",""merchantReference"":""yalo"",""operations"":[""CANCEL"",""CAPTURE"",""REFUND""],""paymentMethod"":""mc"",""pspReference"":""LWPZDSHCNZBWB4G6"",""reason"":""004247:0772:10/2032"",""refusalReason"":""004247:0772:10/2032"",""refusalReasonCode"":""85"",""success"":""true""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MCGWNEBNN0623"",""recurring.recurringDetailReference"":""B8MQ59V4KZPGXHG6"",""recurring.shopperReference"":""968996"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""968996"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""B8MQ59V4KZPGXHG6"",""transactionLinkId"":""4QZcBI1MS02q7VMFaWhbgA""},""amount"":{""currency"":""BRL"",""value"":41880},""merchantReference"":""yalo"",""pspReference"":""XT8NDDFWC5JF3RG6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""356174457439000"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122385"",""tokenization.storedPaymentMethodId"":""XWCRKLV94TFMBHF6""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""ZZ7PMW437K6SLRG3"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MCSCN5NNN0623"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurring.recurringDetailReference"":""GKQK58KJ64ZJHWF3"",""recurring.shopperReference"":""1122174"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122174"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""GKQK58KJ64ZJHWF3"",""transactionLinkId"":""q39VOZa6TR2Ea6_dnx752w""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""RDCMQCT7RSN5GXG6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""466174457328493"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""412887"",""tokenization.storedPaymentMethodId"":""WSFKKXQ3GV53HX42""},""amount"":{""currency"":""BRL"",""value"":41880},""merchantReference"":""yalo"",""pspReference"":""DBKMMMJ2CGNZLWP9"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MPLGNM1KJ0623"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurring.recurringDetailReference"":""G3TJK5GRSXTZC7Q9"",""recurring.shopperReference"":""1122377"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122377"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""G3TJK5GRSXTZC7Q9"",""transactionLinkId"":""KIZctf_iQhCzgcDRoNbsPg""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""G65V6Q8QF4M82CR9"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""MBKTM2UNQ0623"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurring.recurringDetailReference"":""FTKV3LNJ9KPQ2CP9"",""recurring.shopperReference"":""1122320"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122320"",""tokenization.store.operationType"":""alreadyExisting"",""tokenization.storedPaymentMethodId"":""FTKV3LNJ9KPQ2CP9"",""transactionLinkId"":""bLCA3mOcSfeoNq07gvsXHg""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""Z3M4BB5QPF4WRSF6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""306174457106098"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""412878"",""tokenization.storedPaymentMethodId"":""GB83TPTCWWQX5S62""},""amount"":{""currency"":""BRL"",""value"":41880},""merchantReference"":""yalo"",""pspReference"":""N2TNXGJVX3L9BZG6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""386174457081405"",""realtimeAccountUpdaterStatus"":""NoChange"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""969051"",""tokenization.storedPaymentMethodId"":""NSC4JGH9RGBZ8BG3""},""amount"":{""currency"":""BRL"",""value"":41880},""merchantReference"":""yalo"",""pspReference"":""BZKLCBCB4CRWRSF6"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""cardFunction"":""Consumer"",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""networkTxReference"":""466174457025131"",""recurringProcessingModel"":""Subscription"",""tokenization.shopperReference"":""1122210"",""tokenization.storedPaymentMethodId"":""Q7VT4CLJ9KPQ2CP9""},""amount"":{""currency"":""BRL"",""value"":23940},""merchantReference"":""yalo"",""pspReference"":""F8HQQMFPBBP77TZ3"",""resultCode"":""Authorised""}"
true,"{""additionalData"":{""PaymentAccountReference"":""5001CTHTGGSW1JEKNO11AYA1N6RHL"",""acquirerCode"":""AdyenMasterCard_BR_Ins_23316"",""acquirerReference"":""617313095939"",""authCode"":""357915"",""avsResult"":""-1 Not sent"",""cardBin"":""555507"",""cardFunction"":""Consumer"",""cardHolderName"":""FERNANDO PEREIRA"",""cardSummary"":""3327"",""checkout.cardAddedBrand"":""mccredit"",""coBrandedWith"":""mc"",""cvcResult"":""1 Matches"",""cvcResultRaw"":""M"",""expiryDate"":""06/2035"",""fundingSource"":""CREDIT"",""hmacSignature"":""edDQKXZSihG7UvvnJsS42r2XbkqC7w9zGLN4MTrluXw="",""isCardCommercial"":""false"",""issuerCountry"":""BR"",""merchantAdviceCode"":""43 : Consumer multi-use virtual card number"",""networkTxReference"":""MCGMA740L0622"",""paymentMethodVariant"":""mccredit"",""recurring.recurringDetailReference"":""F9BMV6KCQDXTHVW3"",""recurring.shopperReference"":""1122501"",""recurringProcessingModel"":""CardOnFile"",""refusalReasonRaw"":""85 : No reason to decline a request for account number verification, address verification, CVV2 verification, or a credit voucher or merchandise return"",""shopperReference"":""1122501"",""tokenization.shopperReference"":""1122501"",""tokenization.store.operationType"":""created"",""tokenization.storedPaymentMethodId"":""F9BMV6KCQDXTHVW3"",""transactionLinkId"":""Qmaxj07STpKMEsfwh94AvQ""},""amount"":{""currency"":""BRL"",""value"":0},""eventCode"":""AUTHORISATION"",""eventDate"":""2026-06-22T15:43:11+02:00"",""merchantAccountCode"":""YALO_POS"",""merchantReference"":""yalo"",""operations"":[""CANCEL"",""CAPTURE"",""REFUND""],""paymentMethod"":""mc"",""pspReference"":""WC2RLVXTDZS7FTZ3"",""reason"":""357915:3327:06/2035"",""refusalReason"":""357915:3327:06/2035"",""refusalReasonCode"":""85"",""success"":""true""}"
